ablum,ablummid,end,id,name,singer,songmid,start,url
Scary Hours,001rdCIF49wtT2,2018_11,212894043,God's Plan (Clean),Drake,001cyqMp38gowe,2018_6,https://y.qq.com/n/yqq/song/001cyqMp38gowe.html
Psycho,001f1AET3KU6dF,2018_11,213185529,Psycho (Clean),Post Malone,002GphC603hRhW,2018_11,https://y.qq.com/n/yqq/song/002GphC603hRhW.html
÷ (Deluxe),000chBQY44HBam,2018_11,200732342,Perfect,Ed Sheeran,0003JKfo3deNMR,2017_12,https://y.qq.com/n/yqq/song/0003JKfo3deNMR.html
Finesse (Remix),004IUQEn1MSCm4,2018_11,212710040,Finesse (Remix),Bruno Mars,004gbDmA1tuWhh,2018_3,https://y.qq.com/n/yqq/song/004gbDmA1tuWhh.html
Havana,001Xmn3t2WkB9x,2018_11,203510846,Havana,Camila Cabello,000PsiBS2CbEOR,2017_36,https://y.qq.com/n/yqq/song/000PsiBS2CbEOR.html
Look Alive,001kvZGx1zVOVN,2018_11,213053786,Look Alive (Clean),BlocBoy JB,001QGToo0jyhyA,2018_9,https://y.qq.com/n/yqq/song/001QGToo0jyhyA.html
All Your Fault: Pt. 2,001zTANR2pGAeK,2018_11,203605103,Meant to Be,Florida Georgia Line,000sXVrU15uJPO,2017_45,https://y.qq.com/n/yqq/song/000sXVrU15uJPO.html
rockstar,004BCSia0Hx4qC,2018_11,203837841,rockstar (Clean),Post Malone,002OqKoX3JBkNF,2017_40,https://y.qq.com/n/yqq/song/002OqKoX3JBkNF.html
Pray For Me,002EnX2w0hW2UK,2018_11,213018417,Pray For Me (Clean),The Weeknd,004ZewP31H7FQj,2018_8,https://y.qq.com/n/yqq/song/004ZewP31H7FQj.html
All The Stars,002NDmMo30F7pE,2018_11,212758092,All The Stars (Clean),Kendrick Lamar,003lT9Nu3owejX,2018_4,https://y.qq.com/n/yqq/song/003lT9Nu3owejX.html
The Middle,002jyltC3IW8AZ,2018_11,212911192,The Middle,Zedd,003wIKbN3BRA2y,2018_7,https://y.qq.com/n/yqq/song/003wIKbN3BRA2y.html
Stir Fry,002aY89a1fpTfS,2018_11,212608944,Stir Fry (Clean),Migos,001BkwcW4ARcdO,2018_2,https://y.qq.com/n/yqq/song/001BkwcW4ARcdO.html
Fresh Edge,0020OXsS3hz3kD,2018_11,205342270,Let You Down,NF,0006Lsk344gVYf,2017_44,https://y.qq.com/n/yqq/song/0006Lsk344gVYf.html
Dua Lipa (Deluxe),004ScbB01WWjuk,2018_11,202560419,New Rules,Dua Lipa,00403UOu1h2zBm,2017_33,https://y.qq.com/n/yqq/song/00403UOu1h2zBm.html
The Beautiful & Damned,001bF3GP15xbUz,2018_11,211984787,Him & I (Explicit),G-Eazy,002DHhUI085OL3,2017_51,https://y.qq.com/n/yqq/song/002DHhUI085OL3.html
GUMMO,003Erlzx2cYROw,2018_11,209363771,GUMMO (Explicit),6IX9INE,0039xqRe2v3ILp,2017_48,https://y.qq.com/n/yqq/song/0039xqRe2v3ILp.html
Thunder,004Lln4k3pHWBi,2018_11,202047115,Thunder,Imagine Dragons,002FAQbp0jUalG,2017_20,https://y.qq.com/n/yqq/song/002FAQbp0jUalG.html
Stoney (Deluxe),001tctIT1yaNXd,2018_11,109131189,I Fall Apart,Post Malone,004L5xeL3pfVB9,2017_41,https://y.qq.com/n/yqq/song/004L5xeL3pfVB9.html
DAMN.,000gHBp24WRz0d,2018_11,201816920,LOVE. (Explicit),Kendrick Lamar,000PBHZV38RWWT,2017_18,https://y.qq.com/n/yqq/song/000PBHZV38RWWT.html
Mine,002u5urR2mLJDK,2018_11,204402836,Mine,Bazzi,000dKoTc3HhXh5,2018_6,https://y.qq.com/n/yqq/song/000dKoTc3HhXh5.html
hopeless fountain kingdom (Deluxe),003ocxh51oboIV,2018_11,201631775,Bad At Love,Halsey,003tgriU13C1YI,2017_38,https://y.qq.com/n/yqq/song/003tgriU13C1YI.html
Finessed Flow,003IDKv10tkRk0,2018_11,213188095,44 More,Logic,004Qlhpj0OATiE,2018_11,https://y.qq.com/n/yqq/song/004Qlhpj0OATiE.html
Lights Down Low,002M4YAg16g2Sm,2018_11,203910794,Lights Down Low,MAX,004SLZsu0DWXp0,2017_43,https://y.qq.com/n/yqq/song/004SLZsu0DWXp0.html
Never Be the Same,001smVRW1TZYQE,2018_11,212082213,Never Be the Same,Camila Cabello,003KnLUq38ZSeO,2017_52,https://y.qq.com/n/yqq/song/003KnLUq38ZSeO.html
Wolves,001lC38H332e2W,2018_11,205348257,Wolves,Selena Gomez,003XFhZF1yG7jD,2017_45,https://y.qq.com/n/yqq/song/003XFhZF1yG7jD.html
Bartier Cardi,0006GBDK2rDT8p,2018_11,212605407,Bartier Cardi (Explicit),Cardi B,002BAYUn1KIz1d,2018_2,https://y.qq.com/n/yqq/song/002BAYUn1KIz1d.html
Voicenotes,001v3NMj3Pi45u,2018_11,204275873,How Long,Charlie Puth,000JVV592ZKwi4,2017_43,https://y.qq.com/n/yqq/song/000JVV592ZKwi4.html
King's Dead,004dQztH2FqRWL,2018_11,212820093,King's Dead (Clean),Jay Rock,002wuPTv1aPqoK,2018_5,https://y.qq.com/n/yqq/song/002wuPTv1aPqoK.html
Say Something,000nrzca1L11DH,2018_11,212928582,Say Something,Justin Timberlake,000iXVGX1JQlvH,2018_7,https://y.qq.com/n/yqq/song/000iXVGX1JQlvH.html
MotorSport,0037HOVt0T4JAS,2018_11,206292283,MotorSport,Migos,0002bV0l4S5Smq,2017_46,https://y.qq.com/n/yqq/song/0002bV0l4S5Smq.html
No Limit,001mxCoN42dzf1,2018_11,203765003,No Limit (Explicit),G-Eazy,00419ASW4GHyMV,2017_39,https://y.qq.com/n/yqq/song/00419ASW4GHyMV.html
Feel It Still,001y4QsC0fs2OP,2018_11,200922245,Feel It Still,Portugal. The Man,002yJ6PS2pCJXk,2017_27,https://y.qq.com/n/yqq/song/002yJ6PS2pCJXk.html
American Teen,0015Y6j02ajsLo,2018_11,200906186,Young Dumb & Broke,Khalid,001mURoL0O1Vv2,2017_31,https://y.qq.com/n/yqq/song/001mURoL0O1Vv2.html
Life Changes,002Qun3W1H8866,2018_11,203450338,Marry Me,Thomas Rhett,002g9lnq4YkEgu,2017_51,https://y.qq.com/n/yqq/song/002g9lnq4YkEgu.html
Until Death Call My Name,004Qze8X0juwL1,2018_11,212811660,Outside Today (Explicit),Youngboy Never Broke Again,0008egRE0cqTUF,2018_5,https://y.qq.com/n/yqq/song/0008egRE0cqTUF.html
Without Warning,001DY1oR3XWWy7,2018_11,206622095,Ric Flair Drip (Explicit),Offset,002mbBoi4BicSD,2017_46,https://y.qq.com/n/yqq/song/002mbBoi4BicSD.html
Sky Walker,003pP8aF2yda1h,2018_11,203695413,Sky Walker,Miguel,002C9pq00fRASA,2017_38,https://y.qq.com/n/yqq/song/002C9pq00fRASA.html
You Make It Easy,001EHvXe3IwN0q,2018_11,212784659,You Make It Easy,Jason Aldean,003NYaCy120z04,2018_7,https://y.qq.com/n/yqq/song/003NYaCy120z04.html
Wait,002su2uw3rFAcL,2018_11,212966325,Wait,Maroon 5,001WMnso0roAyP,2018_6,https://y.qq.com/n/yqq/song/001WMnso0roAyP.html
Bodak Yellow,002DUYxL3OmWMG,2018_11,202811576,Bodak Yellow,Cardi B,0044p2sx0rY79e,2017_29,https://y.qq.com/n/yqq/song/0044p2sx0rY79e.html
Still Striving,002Vd3Vc2r0a12,2018_11,203507098,Plain Jane (Explicit),A$AP Ferg,003Bzp1C0CuQny,2017_41,https://y.qq.com/n/yqq/song/003Bzp1C0CuQny.html
Fresh Edge,0020OXsS3hz3kD,2018_11,205342256,New Freezer,Rich The Kid,003bvBWl1tYCrK,2018_7,https://y.qq.com/n/yqq/song/003bvBWl1tYCrK.html
Best Of 2017 Pop,002ObY5T3DCkYk,2018_11,212448793,Whatever It Takes,Imagine Dragons,001itma20FpPca,2018_8,https://y.qq.com/n/yqq/song/001itma20FpPca.html
Kane Brown (Deluxe Edition),000iXljI4fZVpv,2018_11,203811465,Heaven,Kane Brown,004IWE610Urpdo,2017_43,https://y.qq.com/n/yqq/song/004IWE610Urpdo.html
Sorry Not Sorry,004bY3Zg4A8cxp,2018_11,203281122,Sorry Not Sorry (Explicit),Demi Lovato,002nfxjd2WOMqV,2017_30,https://y.qq.com/n/yqq/song/002nfxjd2WOMqV.html
Revival (Deluxe),00030Pth3K2EAg,2018_11,212434196,River (Explicit),Eminem,004BMqIN37hzPd,2018_1,https://y.qq.com/n/yqq/song/004BMqIN37hzPd.html
Five More Minutes,004ZX9Tu44I6Se,2018_11,202183599,Five More Minutes,Scotty McCreery,001Xm44Z4NLai4,2017_51,https://y.qq.com/n/yqq/song/001Xm44Z4NLai4.html
GEMINI,003E1Vfq3WALne,2018_11,203738516,Good Old Days,Macklemore,001JwO7C34xaYC,2017_41,https://y.qq.com/n/yqq/song/001JwO7C34xaYC.html
From A Room: Volume 1,002NJfwA13XkPC,2018_11,201828619,Broken Halos,Chris Stapleton,000gQmJL0R5vfi,2017_18,https://y.qq.com/n/yqq/song/000gQmJL0R5vfi.html
Dura,001WLmKo2ih6qo,2018_11,212880875,Dura,Daddy Yankee,000ffIIa0dx4E7,2018_8,https://y.qq.com/n/yqq/song/000ffIIa0dx4E7.html
Lemon,002XfvHh482ISR,2018_11,207090140,Lemon (Explicit),N.E.R.D,0039QTei1DueoO,2017_47,https://y.qq.com/n/yqq/song/0039QTei1DueoO.html
,001ZaCQY2OxVMg,2018_11,203705876,El Farsante,Ozuna,001evgMR0ooUdA,2018_7,https://y.qq.com/n/yqq/song/001evgMR0ooUdA.html
Culture II,001AOWJb09XYwU,2018_11,212966482,Walk It Talk It,Migos,0045Ylr83HyyZ6,2018_7,https://y.qq.com/n/yqq/song/0045Ylr83HyyZ6.html
Pick It Up,003S5AGU2n8G2k,2018_11,204513335,Pick It Up,Famous Dex,002odItl30zSVP,2017_48,https://y.qq.com/n/yqq/song/002odItl30zSVP.html
Plug Walk,000dZmrA1fvfE5,2018_11,213071589,Plug Walk (Clean),Rich The Kid,004anOjF3awhgh,2018_9,https://y.qq.com/n/yqq/song/004anOjF3awhgh.html
FRIENDS,001enkWw1yk2c9,2018_11,213031254,FRIENDS,Marshmello,004YoNIA3bJLBj,2018_9,https://y.qq.com/n/yqq/song/004YoNIA3bJLBj.html
What Makes You Country,002a3JKW1D2yXn,2018_11,206977784,Most People Are Good,Luke Bryan,003lg9pf4C9yLj,2018_7,https://y.qq.com/n/yqq/song/003lg9pf4C9yLj.html
Love Lies,002k1BSd46lVDm,2018_11,213087676,Love Lies,Khalid,000qWtYo1butX8,2018_10,https://y.qq.com/n/yqq/song/000qWtYo1butX8.html
Happy Endings,004Bhfv52XT04S,2018_11,203107814,Written in the Sand,Old Dominion,0018Vdmf3Q2cOs,2017_49,https://y.qq.com/n/yqq/song/0018Vdmf3Q2cOs.html
DAY69,004Utodb14SxUK,2018_11,213194475,BILLY (Explicit),6IX9INE,002PQiLg3N5oRH,2018_11,https://y.qq.com/n/yqq/song/002PQiLg3N5oRH.html
Want You Back,000ZGNDo1vdqGw,2018_11,213192685,Want You Back (Clean),5 Seconds Of Summer,0036lVn50mEBUc,2018_11,https://y.qq.com/n/yqq/song/0036lVn50mEBUc.html
Life of a Dark Rose,000BrOCJ2KhDIh,2018_11,212542649,Nowadays (Explicit),Lil Skies,002GxZBz1KTSB7,2018_4,https://y.qq.com/n/yqq/song/002GxZBz1KTSB7.html
KEKE,003dUL4o1bvPXU,2018_11,212854830,KEKE (Explicit),6IX9INE,002rrkVr2P2IeI,2018_5,https://y.qq.com/n/yqq/song/002rrkVr2P2IeI.html
Black Panther The Album Music From And Inspired By,004I1KhN0gJkay,2018_11,213074683,X (Clean),Schoolboy Q,000R0aVk13EV5n,2018_9,https://y.qq.com/n/yqq/song/000R0aVk13EV5n.html
Culture II,001AOWJb09XYwU,2018_11,212966479,Narcos,Migos,0032ges9327Nj4,2018_7,https://y.qq.com/n/yqq/song/0032ges9327Nj4.html
Betrayed,001XJKnS2yijLI,2018_11,204679198,Betrayed (Explicit),Lil Xan,001mglx60N3K9h,2018_1,https://y.qq.com/n/yqq/song/001mglx60N3K9h.html
Hardaway,001QQ5I73jwsRI,2018_11,211992478,Hardaway,Derez De'Shon,002mdwNu0Vjmie,2018_8,https://y.qq.com/n/yqq/song/002mdwNu0Vjmie.html
Beat The Heat Country Summer Jams,002HePMr2XVGCv,2018_11,203637298,Singles You Up,Jordan Davis,004PvvXk13zDd0,2018_8,https://y.qq.com/n/yqq/song/004PvvXk13zDd0.html
All On Me,0021Zlpv42RaXQ,2018_11,200734096,All On Me,Devin Dawson,001Hy2Qa3LHuqe,2017_46,https://y.qq.com/n/yqq/song/001Hy2Qa3LHuqe.html
AI YoungBoy,003jooWE271uN7,2018_11,203539008,No Smoke,Youngboy Never Broke Again,000RDUkz3tmMSo,2017_49,https://y.qq.com/n/yqq/song/000RDUkz3tmMSo.html
Fast & Furious 8: The Album,003DuSFG1Og6cC,2018_11,200914427,Candy Paint (Explicit),Post Malone,001dHaDk1CiJpx,2017_45,https://y.qq.com/n/yqq/song/001dHaDk1CiJpx.html
Yours,003tyVn13qThI1,2018_11,203839617,Yours (Wedding Edition),Russell Dickerson,0025PJP40JiEq6,2018_1,https://y.qq.com/n/yqq/song/0025PJP40JiEq6.html
DAY69,004Utodb14SxUK,2018_11,213194477,RONDO (Explicit),6IX9INE,004clmfI1lZQgs,2018_11,https://y.qq.com/n/yqq/song/004clmfI1lZQgs.html
You Broke Up with Me,003Bfo012mCznd,2018_11,200653699,You Broke Up with Me,Walker Hayes,004TGmvi40rqLU,2017_44,https://y.qq.com/n/yqq/song/004TGmvi40rqLU.html
Brett Eldredge,0016DL7E36phA8,2018_11,202308843,The Long Way,Brett Eldredge,000tjgGO2XgXgy,2018_8,https://y.qq.com/n/yqq/song/000tjgGO2XgXgy.html
Black Panther The Album Music From And Inspired By,004I1KhN0gJkay,2018_11,213074687,Paramedic! (Clean),SOB X RBE,0019dXav2V2uwH,2018_9,https://y.qq.com/n/yqq/song/0019dXav2V2uwH.html
Life of a Dark Rose,000BrOCJ2KhDIh,2018_11,212542648,Red Roses (Explicit),Lil Skies,001n5ITs2Sy5OJ,2018_4,https://y.qq.com/n/yqq/song/001n5ITs2Sy5OJ.html
Dua Lipa (Deluxe),004ScbB01WWjuk,2018_11,202560405,IDGAF,Dua Lipa,001VSizV3pF0nt,2018_5,https://y.qq.com/n/yqq/song/001VSizV3pF0nt.html
?chame La Culpa,0024jyJ1055qd2,2018_11,211274303,?chame La Culpa,Luis Fonsi,003J5Pd62wVUzT,2017_49,https://y.qq.com/n/yqq/song/003J5Pd62wVUzT.html
La Modelo,001wuITk4YEHEM,2018_11,212665922,La Modelo,Ozuna,0004B7zC1BJt13,2018_2,https://y.qq.com/n/yqq/song/0004B7zC1BJt13.html
223,002YkHna2VDQm3,2018_11,213187990,Booty,Blac Youngsta,0043S8Aw1AdgEu,2018_11,https://y.qq.com/n/yqq/song/0043S8Aw1AdgEu.html
Dark Knight Dummo,003zGVHU18IYi9,2018_11,212055521,Dark Knight Dummo,Trippie Redd,0016XnLw0JcpsQ,2017_52,https://y.qq.com/n/yqq/song/0016XnLw0JcpsQ.html
Beautiful Trauma (The Remixes),002v3CKK09CKXs,2018_11,212811405,Beautiful Trauma (E11even Remix),P!NK,001YLxXo42erJm,2018_4,https://y.qq.com/n/yqq/song/001YLxXo42erJm.html
Tell Me You Love Me,003G6Abd1JhRSO,2018_11,203683128,Tell Me You Love Me,Demi Lovato,0031FxTs4H1JT9,2017_37,https://y.qq.com/n/yqq/song/0031FxTs4H1JT9.html
Rubbin Off The Paint,004IGHsD2GraIV,2018_11,204412731,Rubbin Off The Paint (Clean),YBN Nahmir,003YOAe33z9hrX,2017_47,https://y.qq.com/n/yqq/song/003YOAe33z9hrX.html
At The Club,0025SUU443unGP,2018_11,204237875,At The Club,Jacquees,003nsZzl4Jr5IO,2018_8,https://y.qq.com/n/yqq/song/003nsZzl4Jr5IO.html
The Greatest Showman (Original Motion Picture Soundtrack),002SutdL4YQgJa,2018_11,204824131,This Is Me,Keala Settle,0045aOE238cihu,2018_3,https://y.qq.com/n/yqq/song/0045aOE238cihu.html
I Like Me Better,002OFfXB2bGcrg,2018_11,202418204,I Like Me Better,Lauv,00251jeI1ekZao,2018_9,https://y.qq.com/n/yqq/song/00251jeI1ekZao.html
KOODA,002O68tP0hy9NS,2018_11,212048184,KOODA,6IX9INE,0042XSfF26aExs,2017_51,https://y.qq.com/n/yqq/song/0042XSfF26aExs.html
Black Panther The Album Music From And Inspired By,004I1KhN0gJkay,2018_11,213074684,The Ways (Clean),Khalid,004OD1r637JnH0,2018_9,https://y.qq.com/n/yqq/song/004OD1r637JnH0.html
When We (Remix),004CXHTG1I1pr0,2018_11,213053770,When We (Explicit),Tank,001SQ4wd3lzDEv,2018_9,https://y.qq.com/n/yqq/song/001SQ4wd3lzDEv.html
Culture II,001AOWJb09XYwU,2018_11,212966496,Notice Me,Migos,002Pt3a43eYXBG,2018_7,https://y.qq.com/n/yqq/song/002Pt3a43eYXBG.html
Corazón,001O0kE93xyluS,2018_11,206276612,Corazón,Maluma,0016mxeU0qZNbL,2018_3,https://y.qq.com/n/yqq/song/0016mxeU0qZNbL.html
Get You,0000CqSb3IRNSZ,2018_11,203254966,Get You,Daniel Caesar,0040gUlB1dhrNs,2018_10,https://y.qq.com/n/yqq/song/0040gUlB1dhrNs.html
Project Baby 2: All Grown Up (Deluxe),0039mRhX3ccCn6,2018_11,211707362,Codeine Dreaming (Explicit),Kodak Black,002blQ840v49Wc,2017_50,https://y.qq.com/n/yqq/song/002blQ840v49Wc.html
Dear Life,001BGNXO1hrJ1y,2018_11,109294775,She's With Me,High Valley,000efwCr2MlMgw,2018_11,https://y.qq.com/n/yqq/song/000efwCr2MlMgw.html
Mayores,002k0vwn1MqmbW,2018_11,203198476,Mayores,Becky G,0042bD0n1jBwPe,2017_44,https://y.qq.com/n/yqq/song/0042bD0n1jBwPe.html
Break Up in the End,000l6xsn1dEfQD,2018_11,213152627,Break Up in the End,Cole Swindell,001pJQc540C0d5,2018_11,https://y.qq.com/n/yqq/song/001pJQc540C0d5.html
Make Me Feel,003eW68s2gH3cj,2018_11,213193478,Make Me Feel (Clean),Janelle Monáe,002NESVE3YxvZ7,2018_11,https://y.qq.com/n/yqq/song/002NESVE3YxvZ7.html
Ain't No Mixtape Bih 3,002wEbAG3mTYrY,2018_11,212726235,Rock,Plies,002kyS1A3effG6,2018_6,https://y.qq.com/n/yqq/song/002kyS1A3effG6.html
Shape of You,001uSQEE2WdFLN,2018_10,200369396,Shape of You,Ed Sheeran,0041gObR2QG98x,2017_4,https://y.qq.com/n/yqq/song/0041gObR2QG98x.html
THE THRILL OF IT ALL (Special Edition),002fHR470nr9ac,2018_10,203809745,Too Good At Goodbyes (Edit),Sam Smith,004AgEme2HGtPN,2017_39,https://y.qq.com/n/yqq/song/004AgEme2HGtPN.html
Gucci Gang,000cHdof3gBhmc,2018_10,203723159,Gucci Gang (Explicit),Lil Pump,002CSXSy4KCtP2,2017_40,https://y.qq.com/n/yqq/song/002CSXSy4KCtP2.html
Mr. Davis,000hydUU0ISk0Q,2018_10,203649415,I Get the Bag (Clean),Gucci Mane,001dsNyK1NRTSI,2017_36,https://y.qq.com/n/yqq/song/001dsNyK1NRTSI.html
Let Me Go,004ap17f0hYX9Z,2018_10,203779094,Let Me Go,Hailee Steinfeld,001GJzUK2Z2kP2,2017_39,https://y.qq.com/n/yqq/song/001GJzUK2Z2kP2.html
Black Panther The Album Music From And Inspired By,004I1KhN0gJkay,2018_10,213074693,Big Shot (Clean),Kendrick Lamar,003jXehA0d0sHP,2018_9,https://y.qq.com/n/yqq/song/003jXehA0d0sHP.html
Legends,001Gh8MV11g7u8,2018_10,202696301,Legends,Kelsea Ballerini,0020MiLO12HLUM,2017_52,https://y.qq.com/n/yqq/song/0020MiLO12HLUM.html
reputation,003OK4yP2MBOip,2018_10,208426580,End Game,Taylor Swift,003srZtA2vkrT4,2017_49,https://y.qq.com/n/yqq/song/003srZtA2vkrT4.html
Fifty Shades Freed (Original Motion Picture Soundtrack),00310DDM0C0BLr,2018_10,212888655,For You (Fifty Shades Freed),Liam Payne,001dYEak2XEObR,2018_9,https://y.qq.com/n/yqq/song/001dYEak2XEObR.html
What If Nothing,002jwxH013tXu4,2018_10,207204008,One Foot,WALK THE MOON,004a5Pmx2jlaTD,2018_3,https://y.qq.com/n/yqq/song/004a5Pmx2jlaTD.html
,001ZaCQY2OxVMg,2018_10,210009234,Female,Keith Urban,00196Qt62vw2TK,2017_48,https://y.qq.com/n/yqq/song/00196Qt62vw2TK.html
1-800-273-8255,004VLeae28wnMF,2018_9,202048205,1-800-273-8255,Logic,000MJfJf0YFPfq,2017_20,https://y.qq.com/n/yqq/song/000MJfJf0YFPfq.html
Project Baby 2,003M93yp1ilaqC,2018_9,203648251,Roll In Peace (Clean),Kodak Black,001QylJ52Il4Fj,2017_36,https://y.qq.com/n/yqq/song/001QylJ52Il4Fj.html
Filthy,0042WxvD3vc8mN,2018_9,212757984,Filthy,Justin Timberlake,002WucN52jS2ec,2018_4,https://y.qq.com/n/yqq/song/002WucN52jS2ec.html
Black Panther The Album Music From And Inspired By,004I1KhN0gJkay,2018_9,213074681,Black Panther (Clean),Kendrick Lamar,002mn68p3HX3KW,2018_9,https://y.qq.com/n/yqq/song/002mn68p3HX3KW.html
Criminal,003J0KSK1WsvRb,2018_9,212066056,Criminal,Natti Natasha,000Pwbbt05MxIl,2017_51,https://y.qq.com/n/yqq/song/000Pwbbt05MxIl.html
The Greatest Showman (Original Motion Picture Soundtrack),002SutdL4YQgJa,2018_9,205642008,Rewrite The Stars,Zac Efron,000F67sH3CSxwB,2018_3,https://y.qq.com/n/yqq/song/000F67sH3CSxwB.html
Crowd Pleasers (Vol. II),0045hWpL2RQsGX,2018_8,213033087,The Champion,Carrie Underwood,0002F7lp2TMcN9,2018_8,https://y.qq.com/n/yqq/song/0002F7lp2TMcN9.html
Brett Young,0037QOrM3DRRVs,2018_8,105586639,Like I Loved You,Brett Young,0043ypwE0WS6vf,2017_41,https://y.qq.com/n/yqq/song/0043ypwE0WS6vf.html
Losing Sleep,002m8ctb2IfmzT,2018_8,202206853,Losing Sleep,Chris Young,004DvFnY3IXPdo,2017_41,https://y.qq.com/n/yqq/song/004DvFnY3IXPdo.html
Man of the Woods,0049nCxW1Ry0yU,2018_8,212881671,Man of the Woods,Justin Timberlake,000uL6cW00c3IT,2018_8,https://y.qq.com/n/yqq/song/000uL6cW00c3IT.html
Scary Hours,001rdCIF49wtT2,2018_8,212894044,Diplomatic Immunity (Clean),Drake,003zWTVF28TGMG,2018_6,https://y.qq.com/n/yqq/song/003zWTVF28TGMG.html
Culture II,001AOWJb09XYwU,2018_8,212966480,BBO (Bad B**ches Only),Migos,003DZ0xy2116ki,2018_7,https://y.qq.com/n/yqq/song/003DZ0xy2116ki.html
Sick Boy,004FzKmh445izp,2018_8,212878089,Sick Boy,The Chainsmokers,000xvLxU47E8m7,2018_6,https://y.qq.com/n/yqq/song/000xvLxU47E8m7.html
A Girl Like You,000btgjF1EDL3k,2018_8,200699729,A Girl Like You,Easton Corbin,003uQZRm0xucKR,2018_8,https://y.qq.com/n/yqq/song/003uQZRm0xucKR.html
Supplies,002p3yYn0qENSY,2018_8,212885995,Supplies,Justin Timberlake,001Ebcxk3pLcfU,2018_6,https://y.qq.com/n/yqq/song/001Ebcxk3pLcfU.html
Believer,003HDkuk1saHGx,2018_7,200561452,Believer,Imagine Dragons,002AFSGu1ykFUK,2017_8,https://y.qq.com/n/yqq/song/002AFSGu1ykFUK.html
Luv Is Rage 2,003U4EPx2eE188,2018_7,203683690,The Way Life Goes (Clean),Lil Uzi Vert,001ptHsP0MLu2k,2017_37,https://y.qq.com/n/yqq/song/001ptHsP0MLu2k.html
Culture II,001AOWJb09XYwU,2018_7,212966478,Supastars,Migos,000u02Hf27LCqE,2018_7,https://y.qq.com/n/yqq/song/000u02Hf27LCqE.html
Culture II,001AOWJb09XYwU,2018_7,212966488,White Sand,Migos,004NNjYG0Pp7tZ,2018_7,https://y.qq.com/n/yqq/song/004NNjYG0Pp7tZ.html
Culture II,001AOWJb09XYwU,2018_7,212966487,Gang Gang,Migos,003LPLiH43ecSg,2018_7,https://y.qq.com/n/yqq/song/003LPLiH43ecSg.html
Culture II,001AOWJb09XYwU,2018_7,212966477,Higher We Go(Intro),Migos,004cZfj53XKEyk,2018_7,https://y.qq.com/n/yqq/song/004cZfj53XKEyk.html
Culture II,001AOWJb09XYwU,2018_7,212966481,Auto Pilot,Migos,001FO6Jk0nNGdR,2018_7,https://y.qq.com/n/yqq/song/001FO6Jk0nNGdR.html
Culture II,001AOWJb09XYwU,2018_7,212966483,Emoji A Chain,Migos,000AIN3Z0kIgSr,2018_7,https://y.qq.com/n/yqq/song/000AIN3Z0kIgSr.html
Mr. Misunderstood,003RIq6R2Qu3pL,2018_7,105542264,Round Here Buzz,Eric Church,003z3X2x2FHs6J,2017_41,https://y.qq.com/n/yqq/song/003z3X2x2FHs6J.html
Culture II,001AOWJb09XYwU,2018_7,212966484,CC,Migos,004JpsXt4dkqNi,2018_7,https://y.qq.com/n/yqq/song/004JpsXt4dkqNi.html
MIC Drop (Steve Aoki Remix) Feat. Desiigner,003qQDno3oyeGK,2018_7,211926279,MIC Drop (Steve Aoki Remix),BTS (防弹少年团),001QmpNG0u5N0z,2017_50,https://y.qq.com/n/yqq/song/001QmpNG0u5N0z.html
Red Pill Blues (Deluxe),002uS1Hd180SQ3,2018_6,203732484,What Lovers Do,Maroon 5,000ZFqsb1Syl6p,2017_37,https://y.qq.com/n/yqq/song/000ZFqsb1Syl6p.html
Mi Gente,00198A0G2R9wMr,2018_6,202994639,Mi Gente,J Balvin,003DTXPJ16Uisc,2017_29,https://y.qq.com/n/yqq/song/003DTXPJ16Uisc.html
Issa Album,001Xe7gH1uQcRm,2018_6,203105108,Bank Account (Explicit),21 Savage,004924wA3mwm1W,2017_30,https://y.qq.com/n/yqq/song/004924wA3mwm1W.html
Attention,0035HZba3WZeOK,2018_6,201818118,Attention,Charlie Puth,003KJR1N2LNu5x,2017_19,https://y.qq.com/n/yqq/song/003KJR1N2LNu5x.html
Jungle Rules,001ghSgR0KEpKN,2018_6,203103282,Unforgettable (Explicit),French Montana,000vTr1K0Wka2J,2017_47,https://y.qq.com/n/yqq/song/000vTr1K0Wka2J.html
Pills & Automobiles,001dFRPq1lKBWP,2018_6,203529049,Pills & Automobiles (Explicit),Chris Brown,001aUR8E33mYuw,2017_39,https://y.qq.com/n/yqq/song/001aUR8E33mYuw.html
Extended Play,000qPSt14DGLNl,2018_6,105957483,Greatest Love Story,LANco,003sfhzX0PoFTY,2017_38,https://y.qq.com/n/yqq/song/003sfhzX0PoFTY.html
NO NAME,004Trax54FjgbW,2018_6,212878360,NO NAME,NF,002fAgGT35pe9x,2018_6,https://y.qq.com/n/yqq/song/002fAgGT35pe9x.html
Best Friend (The Remixes),0004kyCC0xU2LB,2018_6,211762789,Best Friend,Sofi Tukker,000ISZcu082tsg,2018_3,https://y.qq.com/n/yqq/song/000ISZcu082tsg.html
Quality Control: Control The Streets Volume 1,000a938R2DJbBH,2018_6,212084923,Ice Tray (Explicit),Quality Control,004W9Oa625Sznn,2018_1,https://y.qq.com/n/yqq/song/004W9Oa625Sznn.html
The Greatest Showman (Original Motion Picture Soundtrack),002SutdL4YQgJa,2018_6,205642002,The Greatest Show,Hugh Jackman,000LNyp62D6X7m,2018_3,https://y.qq.com/n/yqq/song/000LNyp62D6X7m.html
